birth,life,deltactcf,clife,cof,sep,face,peaktotal
0.0075,66,5000,17.0,1.7,74,1.0,4771925
0.0075,66,8,17.0,1.7,100,1.0,4175302
0.0075,66,8,17.0,1.7,74,1.0,5488758
0.01,66,1000,17.0,1.7,100,1.0,3848129
0.01,66,1000,17.0,1.7,74,1.0,4959130
0.01,66,100,17.0,1.7,100,1.0,4408084
0.01,66,100,17.0,1.7,74,1.0,5581389
0.01,66,10,17.0,1.7,100,1.0,4303646
0.01,66,10,17.0,1.7,74,1.0,5736457
0.01,66,1500,17.0,1.7,100,1.0,3952454
0.01,66,1500,17.0,1.7,74,1.0,4845902
0.01,66,200,17.0,1.7,100,1.0,4290055
0.01,66,200,17.0,1.7,74,1.0,5300651
